Model_name,Price,Manufacturer,Condition,Type,Distance,Color,Body_type,Fuel_type,Engine_cc
ستروين سى اليزيه 2021,"550,000 ج.م.",ستروين,مستعملة,أوتوماتيك,"200,000 كم",Black,Sedan,Gas,1600.0
بايك BJ30 2026,"1,675,000 ج.م.",بايك,جديدة,أوتوماتيك,,Silver,SUV,Hybrid,1500.0
كيا سورينتو 2025,"3,300,000 ج.م.",كيا,جديدة,أوتوماتيك,,,,,
تويوتا فورتشنر 2026,"3,530,000 ج.م.",تويوتا,جديدة,أوتوماتيك,,Black,SUV,Gas,4000.0
ساوايست S 05 2026,"950,000 ج.م.",ساوايست,جديدة,أوتوماتيك,,White,SUV,Gas,1500.0
هيونداى افانتي 2024,"1,550,000 ج.م.",هيونداى,جديدة,أوتوماتيك,,Black,Sedan,Gas,1600.0
شيري اريزو 5 فيس ليفت 2026,"750,000 ج.م.",شيري,جديدة,أوتوماتيك,,Gray,Sedan,Gas,1500.0
كيا سورينتو 2024,"2,700,000 ج.م.",كيا,جديدة,أوتوماتيك,,White,SUV,Hybrid,1600.0
بيجو 508 2022,"1,200,000 ج.م.",بيجو,مستعملة,أوتوماتيك,"53,000 كم",Navy Blue,Sedan,Gas,1600.0
سانج يونج توريس 2025,"1,970,000 ج.م.",سانج يونج,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1500.0
سانج يونج توريس 2025,"1,970,000 ج.م.",سانج يونج,جديدة,أوتوماتيك,,,,,
كوبرا تيرامار  2026,"2,140,000 ج.م.",كوبرا,جديدة,أوتوماتيك,,Dark Grey,SUV,Gas,1400.0
فولكس فاجن تيجوان 2026,"2,280,000 ج.م.",فولكس فاجن,جديدة,أوتوماتيك,,Silver,SUV,Gas,1400.0
إم جي 5 2025,"1,150,000 ج.م.",إم جي,جديدة,أوتوماتيك,,White,Sedan,Gas,1500.0
سكودا كودياك 2026,"2,330,000 ج.م.",سكودا,جديدة,أوتوماتيك,,Navy Blue,SUV,Gas,1400.0
فولكس فاجن جيتا 2012,"750,000 ج.م.",فولكس فاجن,مستعملة,أوتوماتيك,"189,000 كم",Navy Blue,Sedan,Gas,1400.0
إم جي 5 2025,"1,150,000 ج.م.",إم جي,جديدة,أوتوماتيك,,,,,
